ID,X,Y,DATA1,DATA2,DATA3,ISZONE,ISINTERSEC,LABEL
74219,282474.0,5052148.0,1.0,0.0,0.0,0,0,0000
74220,281909.0,5051318.0,1.0,0.0,0.0,0,0,0000
74221,282888.0,5052228.0,1.0,0.0,0.0,0,0,0000
74222,288698.0,5051508.0,1.0,0.0,0.0,0,0,0000
74223,288834.0,5051943.0,1.0,0.0,0.0,0,0,0000
74224,288275.0,5052699.0,1.0,0.0,0.0,0,0,0000
74225,287752.0,5051007.0,1.0,0.0,0.0,0,0,0000
74226,287610.0,5051154.0,1.0,0.0,0.0,0,0,0000
74227,287589.0,5051479.0,1.0,0.0,0.0,0,0,0000
74228,287627.0,5052997.0,1.0,0.0,0.0,0,0,0000
74229,287835.0,5053326.0,1.0,0.0,0.0,0,0,0000
74230,287572.0,5053642.0,1.0,0.0,0.0,0,0,0000
74231,287432.0,5053552.0,1.0,0.0,0.0,0,0,0000
74232,285917.0,5053485.0,1.0,0.0,0.0,0,0,0000
74233,286270.0,5053884.0,1.0,0.0,0.0,0,0,0000
74234,285307.0,5055362.0,1.0,0.0,0.0,0,0,0000
74235,287821.0,5052562.0,1.0,0.0,0.0,0,0,0000
74236,286837.0,5053872.0,1.0,0.0,0.0,0,0,0000
74237,286513.0,5053599.0,1.0,0.0,0.0,0,0,0000
74238,286422.0,5053122.0,1.0,0.0,0.0,0,0,0000
74239,286561.0,5052960.0,1.0,0.0,0.0,0,0,0000
74240,285211.0,5055820.0,1.0,0.0,0.0,0,0,0000
74241,288932.0,5057117.0,1.0,0.0,0.0,0,0,0000
74242,283992.0,5054893.0,1.0,0.0,0.0,0,0,0000
74243,284056.0,5052529.0,1.0,0.0,0.0,0,0,0000
74244,288883.0,5052590.0,1.0,0.0,0.0,0,0,0000
74245,288560.0,5053042.0,1.0,0.0,0.0,0,0,0000
74246,288503.0,5053116.0,1.0,0.0,0.0,0,0,0000
74247,287061.0,5053579.0,1.0,0.0,0.0,0,0,0000
74248,285592.0,5052594.0,1.0,0.0,0.0,0,0,0000
74249,286920.0,5053468.0,1.0,0.0,0.0,0,0,0000
74252,285863.0,5053865.0,1.0,0.0,0.0,0,0,0000
74253,283977.0,5054032.0,1.0,0.0,0.0,0,0,0000
74254,282942.0,5059879.0,1.0,0.0,0.0,0,0,0000
74255,283176.0,5060056.0,1.0,0.0,0.0,0,0,0000
74256,285626.0,5060034.0,1.0,0.0,0.0,0,0,0000
74257,289147.0,5059979.0,1.0,0.0,0.0,0,0,0000
74258,287070.0,5054156.0,1.0,0.0,0.0,0,0,0000
74259,287363.0,5054138.0,1.0,0.0,0.0,0,0,0000
74263,289119.0,5051576.0,1.0,0.0,0.0,0,0,0000
74264,289189.0,5051537.0,1.0,0.0,0.0,0,0,0000
74265,289668.0,5053672.0,1.0,0.0,0.0,0,0,0000
74266,287374.0,5052492.0,1.0,0.0,0.0,0,0,0000
74267,287422.0,5053224.0,1.0,0.0,0.0,0,0,0000
74268,286486.0,5053330.0,1.0,0.0,0.0,0,0,0000
74269,287386.0,5052702.0,1.0,0.0,0.0,0,0,0000
74270,287801.0,5052786.0,1.0,0.0,0.0,0,0,0000
74271,284761.0,5054383.0,1.0,0.0,0.0,0,0,0000
74272,288495.0,5052166.0,1.0,0.0,0.0,0,0,0000
74273,288457.0,5051845.0,1.0,0.0,0.0,0,0,0000
74274,287968.0,5050960.0,1.0,0.0,0.0,0,0,0000
