ID,JNODE,INODE,KNODE,TPF,DATA1,DATA2,DATA3,VOLAU,VOLAD,TIMAU
98020-11817-11805,11817,98020,11805,-1,0.0,0.0,0.0,18.469236,0.0,0.0
98020-11817-11816,11817,98020,11816,0,0.0,0.0,0.0,0.0,0.0,-1.0
98020-11817-98020,11817,98020,98020,0,0.0,0.0,0.0,0.0,0.0,-1.0
11649-11911-11648,11911,11649,11648,-1,0.0,0.0,0.0,25.24972,0.0,0.0
11649-11911-11649,11911,11649,11649,0,0.0,0.0,0.0,0.0,0.0,-1.0
44618-11911-11648,11911,44618,11648,-1,0.0,0.0,0.0,43.512611,0.0,0.0
44618-11911-11649,11911,44618,11649,-1,0.0,0.0,0.0,311.37329,0.0,0.0
44656-11911-11648,11911,44656,11648,0,0.0,0.0,0.0,0.0,0.0,-1.0
44656-11911-11649,11911,44656,11649,-1,0.0,0.0,0.0,95.673447,0.0,0.0
11927-11926-11927,11926,11927,11927,0,0.0,0.0,0.0,0.0,0.0,-1.0
11927-11926-18044,11926,11927,18044,0,0.0,0.0,0.0,0.0,0.0,-1.0
11927-11926-18046,11926,11927,18046,-1,0.0,0.0,0.0,0.6558251,0.0,0.0
18044-11926-11927,11926,18044,11927,-1,0.0,0.0,0.0,0.3906242,0.0,0.0
18044-11926-18044,11926,18044,18044,0,0.0,0.0,0.0,0.0,0.0,-1.0
18044-11926-18046,11926,18044,18046,-1,0.0,0.0,0.0,14.13914,0.0,0.0
18046-11926-11927,11926,18046,11927,-1,0.0,0.0,0.0,0.3526925,0.0,0.0
18046-11926-18044,11926,18046,18044,-1,0.0,0.0,0.0,31.515505,0.0,0.0
18046-11926-18046,11926,18046,18046,0,0.0,0.0,0.0,0.0,0.0,-1.0
11941-11943-11940,11943,11941,11940,-1,0.0,0.0,0.0,0.0,0.0,0.0
11941-11943-98056,11943,11941,98056,-1,0.0,0.0,0.0,14.380078,0.0,0.0
11941-11943-98057,11943,11941,98057,0,0.0,0.0,0.0,0.0,0.0,-1.0
98056-11943-11940,11943,98056,11940,-1,0.0,0.0,0.0,16.312752,0.0,0.0
