ID,JNODE,INODE,KNODE,TPF,DATA1,DATA2,DATA3
12278-12046-12278,12046,12278,12278,0,0.0,0.0,0.0
12278-12046-12298,12046,12278,12298,-1,0.0,0.0,0.0
12298-12046-12047,12046,12298,12047,-1,0.0,0.0,0.0
12298-12046-12278,12046,12298,12278,-1,0.0,0.0,0.0
12298-12046-12298,12046,12298,12298,0,0.0,0.0,0.0
12047-12048-12129,12048,12047,12129,0,0.0,0.0,0.0
12047-12048-12131,12048,12047,12131,-1,0.0,0.0,0.0
12047-12048-12279,12048,12047,12279,-1,0.0,0.0,0.0
12131-12048-12129,12048,12131,12129,-1,0.0,0.0,0.0
12131-12048-12131,12048,12131,12131,0,0.0,0.0,0.0
12131-12048-12279,12048,12131,12279,-1,0.0,0.0,0.0
12279-12048-12129,12048,12279,12129,-1,0.0,0.0,0.0
12279-12048-12131,12048,12279,12131,-1,0.0,0.0,0.0
12279-12048-12279,12048,12279,12279,0,0.0,0.0,0.0
12045-12049-12045,12049,12045,12045,0,0.0,0.0,0.0
12045-12049-12050,12049,12045,12050,-1,0.0,0.0,0.0
12045-12049-12131,12049,12045,12131,-1,0.0,0.0,0.0
12131-12049-12045,12049,12131,12045,-1,0.0,0.0,0.0
12131-12049-12050,12049,12131,12050,0,0.0,0.0,0.0
12131-12049-12131,12049,12131,12131,0,0.0,0.0,0.0
12073-12072-12073,12072,12073,12073,0,0.0,0.0,0.0
12073-12072-12076,12072,12073,12076,-1,0.0,0.0,0.0
12077-12072-12073,12072,12077,12073,-1,0.0,0.0,0.0
12077-12072-12076,12072,12077,12076,0,0.0,0.0,0.0
12027-12086-12026,12086,12027,12026,0,0.0,0.0,0.0
12027-12086-12085,12086,12027,12085,-1,0.0,0.0,0.0
12085-12086-12026,12086,12085,12026,-1,0.0,0.0,0.0
12085-12086-12085,12086,12085,12085,0,0.0,0.0,0.0
12012-12089-12013,12089,12012,12013,0,0.0,0.0,0.0
12012-12089-12090,12089,12012,12090,-1,0.0,0.0,0.0
12090-12089-12013,12089,12090,12013,-1,0.0,0.0,0.0
12090-12089-12090,12089,12090,12090,0,0.0,0.0,0.0
12023-12115-12045,12115,12023,12045,-1,0.0,0.0,0.0
12023-12115-12075,12115,12023,12075,-1,0.0,0.0,0.0
12023-12115-12114,12115,12023,12114,0,0.0,0.0,0.0
12045-12115-12045,12115,12045,12045,0,0.0,0.0,0.0
12045-12115-12075,12115,12045,12075,-1,0.0,0.0,0.0
12045-12115-12114,12115,12045,12114,-1,0.0,0.0,0.0
12075-12115-12045,12115,12075,12045,-1,0.0,0.0,0.0
12075-12115-12075,12115,12075,12075,0,0.0,0.0,0.0
12075-12115-12114,12115,12075,12114,-1,0.0,0.0,0.0
12043-12129-12043,12129,12043,12043,0,0.0,0.0,0.0
12043-12129-12133,12129,12043,12133,-1,0.0,0.0,0.0
12043-12129-12134,12129,12043,12134,0,0.0,0.0,0.0
12048-12129-12043,12129,12048,12043,-1,0.0,0.0,0.0
12048-12129-12133,12129,12048,12133,0,0.0,0.0,0.0
12048-12129-12134,12129,12048,12134,-1,0.0,0.0,0.0
12133-12129-12043,12129,12133,12043,-1,0.0,0.0,0.0
12133-12129-12133,12129,12133,12133,0,0.0,0.0,0.0
12133-12129-12134,12129,12133,12134,-1,0.0,0.0,0.0
12048-12131-12048,12131,12048,12048,0,0.0,0.0,0.0
12048-12131-12049,12131,12048,12049,-1,0.0,0.0,0.0
12048-12131-12133,12131,12048,12133,-1,0.0,0.0,0.0
12049-12131-12048,12131,12049,12048,-1,0.0,0.0,0.0
12049-12131-12049,12131,12049,12049,0,0.0,0.0,0.0
12049-12131-12133,12131,12049,12133,0,0.0,0.0,0.0
12129-12133-12129,12133,12129,12129,0,0.0,0.0,0.0
12129-12133-12155,12133,12129,12155,-1,0.0,0.0,0.0
12131-12133-12129,12133,12131,12129,0,0.0,0.0,0.0
12131-12133-12155,12133,12131,12155,-1,0.0,0.0,0.0
12155-12133-12129,12133,12155,12129,-1,0.0,0.0,0.0
12155-12133-12155,12133,12155,12155,0,0.0,0.0,0.0
12155-12216-12047,12216,12155,12047,-1,0.0,0.0,0.0
12155-12216-12155,12216,12155,12155,0,0.0,0.0,0.0
12155-12216-12278,12216,12155,12278,-1,0.0,0.0,0.0
12278-12216-12047,12216,12278,12047,0,0.0,0.0,0.0
12278-12216-12155,12216,12278,12155,-1,0.0,0.0,0.0
12278-12216-12278,12216,12278,12278,0,0.0,0.0,0.0
12152-12221-12152,12221,12152,12152,0,0.0,0.0,0.0
12152-12221-12213,12221,12152,12213,-1,0.0,0.0,0.0
12152-12221-12224,12221,12152,12224,-1,0.0,0.0,0.0
12213-12221-12152,12221,12213,12152,-1,0.0,0.0,0.0
12213-12221-12213,12221,12213,12213,0,0.0,0.0,0.0
12213-12221-12224,12221,12213,12224,-1,0.0,0.0,0.0
12218-12221-12152,12221,12218,12152,-1,0.0,0.0,0.0
12218-12221-12213,12221,12218,12213,-1,0.0,0.0,0.0
12218-12221-12224,12221,12218,12224,0,0.0,0.0,0.0
12247-12265-12135,12265,12247,12135,-1,0.0,0.0,0.0
12247-12265-12247,12265,12247,12247,0,0.0,0.0,0.0
12247-12265-12258,12265,12247,12258,-1,0.0,0.0,0.0
12257-12265-12135,12265,12257,12135,0,0.0,0.0,0.0
12257-12265-12247,12265,12257,12247,-1,0.0,0.0,0.0
12257-12265-12258,12265,12257,12258,0,0.0,0.0,0.0
12726-12265-12135,12265,12726,12135,0,0.0,0.0,0.0
12726-12265-12247,12265,12726,12247,-1,0.0,0.0,0.0
12726-12265-12258,12265,12726,12258,-1,0.0,0.0,0.0
12174-12270-12174,12270,12174,12174,0,0.0,0.0,0.0
12174-12270-12271,12270,12174,12271,-1,0.0,0.0,0.0
12174-12270-12273,12270,12174,12273,-1,0.0,0.0,0.0
12269-12270-12174,12270,12269,12174,-1,0.0,0.0,0.0
12269-12270-12271,12270,12269,12271,0,0.0,0.0,0.0
12269-12270-12273,12270,12269,12273,-1,0.0,0.0,0.0
12273-12270-12174,12270,12273,12174,-1,0.0,0.0,0.0
12273-12270-12271,12270,12273,12271,-1,0.0,0.0,0.0
12273-12270-12273,12270,12273,12273,0,0.0,0.0,0.0
12171-12273-12171,12273,12171,12171,0,0.0,0.0,0.0
12171-12273-12270,12273,12171,12270,-1,0.0,0.0,0.0
12171-12273-12274,12273,12171,12274,-1,0.0,0.0,0.0
12270-12273-12171,12273,12270,12171,-1,0.0,0.0,0.0
12270-12273-12270,12273,12270,12270,0,0.0,0.0,0.0
12270-12273-12274,12273,12270,12274,-1,0.0,0.0,0.0
12272-12273-12171,12273,12272,12171,-1,0.0,0.0,0.0
12272-12273-12270,12273,12272,12270,-1,0.0,0.0,0.0
12272-12273-12274,12273,12272,12274,0,0.0,0.0,0.0
12048-12279-12048,12279,12048,12048,0,0.0,0.0,0.0
12048-12279-12145,12279,12048,12145,-1,0.0,0.0,0.0
12048-12279-12188,12279,12048,12188,0,0.0,0.0,0.0
12145-12279-12048,12279,12145,12048,-1,0.0,0.0,0.0
12145-12279-12145,12279,12145,12145,0,0.0,0.0,0.0
12145-12279-12188,12279,12145,12188,-1,0.0,0.0,0.0
12280-12279-12048,12279,12280,12048,0,0.0,0.0,0.0
12280-12279-12145,12279,12280,12145,-1,0.0,0.0,0.0
12280-12279-12188,12279,12280,12188,0,0.0,0.0,0.0
12315-12336-12319,12336,12315,12319,0,0.0,0.0,0.0
12315-12336-12337,12336,12315,12337,-1,0.0,0.0,0.0
12337-12336-12319,12336,12337,12319,-1,0.0,0.0,0.0
12337-12336-12337,12336,12337,12337,0,0.0,0.0,0.0
12320-12341-12316,12341,12320,12316,0,0.0,0.0,0.0
12320-12341-12340,12341,12320,12340,-1,0.0,0.0,0.0
12340-12341-12316,12341,12340,12316,-1,0.0,0.0,0.0
12340-12341-12340,12341,12340,12340,0,0.0,0.0,0.0
12325-12348-12327,12348,12325,12327,0,0.0,0.0,0.0
12325-12348-12346,12348,12325,12346,-1,0.0,0.0,0.0
12346-12348-12327,12348,12346,12327,-1,0.0,0.0,0.0
12346-12348-12346,12348,12346,12346,0,0.0,0.0,0.0
12328-12349-12326,12349,12328,12326,0,0.0,0.0,0.0
12328-12349-12347,12349,12328,12347,-1,0.0,0.0,0.0
12347-12349-12326,12349,12347,12326,-1,0.0,0.0,0.0
12347-12349-12347,12349,12347,12347,0,0.0,0.0,0.0
12091-12444-12213,12444,12091,12213,-1,0.0,0.0,0.0
12091-12444-12215,12444,12091,12215,0,0.0,0.0,0.0
12213-12444-12213,12444,12213,12213,0,0.0,0.0,0.0
12213-12444-12215,12444,12213,12215,-1,0.0,0.0,0.0
12588-12590-12588,12590,12588,12588,0,0.0,0.0,0.0
12588-12590-66590,12590,12588,66590,0,0.0,0.0,0.0
12588-12590-67356,12590,12588,67356,-1,0.0,0.0,0.0
66590-12590-12588,12590,66590,12588,-1,0.0,0.0,0.0
66590-12590-66590,12590,66590,66590,0,0.0,0.0,0.0
66590-12590-67356,12590,66590,67356,-1,0.0,0.0,0.0
67356-12590-12588,12590,67356,12588,-1,0.0,0.0,0.0
67356-12590-66590,12590,67356,66590,-1,0.0,0.0,0.0
67356-12590-67356,12590,67356,67356,0,0.0,0.0,0.0
68044-12666-68044,12666,68044,68044,0,0.0,0.0,0.0
68044-12666-68045,12666,68044,68045,-1,0.0,0.0,0.0
68044-12666-68195,12666,68044,68195,0,0.0,0.0,0.0
68045-12666-68044,12666,68045,68044,-1,0.0,0.0,0.0
68045-12666-68045,12666,68045,68045,0,0.0,0.0,0.0
68045-12666-68195,12666,68045,68195,-1,0.0,0.0,0.0
68195-12666-68044,12666,68195,68044,-1,0.0,0.0,0.0
68195-12666-68045,12666,68195,68045,-1,0.0,0.0,0.0
68195-12666-68195,12666,68195,68195,0,0.0,0.0,0.0
63035-12700-73059,12700,63035,73059,-1,0.0,0.0,0.0
